법정동코드,법정동명,폐지여부
1168000000,서울특별시 강남구,존재
1168000100,서울특별시 강남구 잠원동,폐지
1168000200,서울특별시 강남구 양재동,폐지
1168000300,서울특별시 강남구 원지동,폐지
1168000400,서울특별시 강남구 우면동,폐지
1168000500,서울특별시 강남구 염곡동,폐지
1168000600,서울특별시 강남구 내곡동,폐지
1168000700,서울특별시 강남구 신원동,폐지
1168000800,서울특별시 강남구 방배동,폐지
1168000900,서울특별시 강남구 하일동,폐지
1168001000,서울특별시 강남구 상일동,폐지
1168001100,서울특별시 강남구 명일동,폐지
1168001200,서울특별시 강남구 고덕동,폐지
1168001300,서울특별시 강남구 암사동,폐지
1168001400,서울특별시 강남구 천호동,폐지
1168001500,서울특별시 강남구 성내동,폐지
1168001600,서울특별시 강남구 풍납동,폐지
1168001700,서울특별시 강남구 길동,폐지
1168001800,서울특별시 강남구 둔촌동,폐지
1168001900,서울특별시 강남구 거여동,폐지
1168002000,서울특별시 강남구 마천동,폐지
1168002100,서울특별시 강남구 방이동,폐지
1168002200,서울특별시 강남구 이동,폐지
1168002300,서울특별시 강남구 오금동,폐지
1168002400,서울특별시 강남구 송파동,폐지
1168002500,서울특별시 강남구 석촌동,폐지
1168002600,서울특별시 강남구 가락동,폐지
1168002700,서울특별시 강남구 문정동,폐지
1168002800,서울특별시 강남구 잠실동,폐지
1168002900,서울특별시 강남구 신천동,폐지
1168003000,서울특별시 강남구 삼전동,폐지
1168003100,서울특별시 강남구 송금동,폐지
1168003200,서울특별시 강남구 장지동,폐지
1168003300,서울특별시 강남구 학동,폐지
1168010100,서울특별시 강남구 역삼동,존재
1168010200,서울특별시 강남구 포이동,폐지
1168010300,서울특별시 강남구 개포동,존재
1168010400,서울특별시 강남구 청담동,존재
1168010500,서울특별시 강남구 삼성동,존재
1168010600,서울특별시 강남구 대치동,존재
1168010700,서울특별시 강남구 신사동,존재
1168010800,서울특별시 강남구 논현동,존재
1168011000,서울특별시 강남구 압구정동,존재
1168011100,서울특별시 강남구 세곡동,존재
1168011200,서울특별시 강남구 자곡동,존재
1168011300,서울특별시 강남구 율현동,존재
1168011400,서울특별시 강남구 일원동,존재
1168011500,서울특별시 강남구 수서동,존재
1168011600,서울특별시 강남구 반포동,폐지
1168011700,서울특별시 강남구 서초동,폐지
1168011800,서울특별시 강남구 도곡동,존재
1168090100,서울특별시 강남구 압구정1동,폐지
1168090200,서울특별시 강남구 압구정2동,폐지
1168090300,서울특별시 강남구 청담1동,폐지
1168090400,서울특별시 강남구 청담2동,폐지
1168090500,서울특별시 강남구 삼성1동,폐지
1168090600,서울특별시 강남구 삼성2동,폐지
1168090700,서울특별시 강남구 대치1동,폐지
1168090800,서울특별시 강남구 대치2동,폐지
1168090900,서울특별시 강남구 대치3동,폐지
1168091000,서울특별시 강남구 대치4동,폐지
1168091100,서울특별시 강남구 역삼1동,폐지
1168091200,서울특별시 강남구 역삼2동,폐지
1168091300,서울특별시 강남구 도곡1동,폐지
1168091400,서울특별시 강남구 도곡2동,폐지
1168091500,서울특별시 강남구 개포1동,폐지
1168091600,서울특별시 강남구 개포2동,폐지
1168091700,서울특별시 강남구 개포3동,폐지
1168091800,서울특별시 강남구 개포4동,폐지
